UDH_Atlas,T_freq_basico,T_freq_fund,T_freq_medio,T_freq_superior,I_ESCOLARIDADE,I_FREQ_PROP,IDHM,IDHM_E,IDHM_L,IDHM_R
1355030803048,94.32,98.16,55.49,34.13,0.742,0.812,0.851,0.788,0.914,0.856
1355030803049,94.32,98.16,55.49,34.13,0.742,0.812,0.851,0.788,0.914,0.856
1355030803050,92.92,95.54,47.11,10.75,0.528,0.613,0.681,0.583,0.804,0.673
1355030803051,87.26,92.13,32.26,6.73,0.419,0.634,0.678,0.552,0.806,0.699
1355030803052,91.56,95.63,49.41,18.76,0.659,0.790,0.792,0.744,0.878,0.760
1355030803053,93.32,94.53,69.60,38.37,0.808,0.796,0.893,0.800,0.930,0.958
1355030803054,91.56,95.63,49.41,18.76,0.659,0.790,0.792,0.744,0.878,0.760
1355030803055,87.20,89.37,37.02,6.73,0.419,0.634,0.678,0.552,0.806,0.699
1355030803056,89.73,93.72,29.79,6.03,0.493,0.696,0.682,0.620,0.778,0.657
1355030803057,88.55,93.20,33.29,14.79,0.535,0.678,0.683,0.627,0.776,0.655
1355030803058,87.67,91.47,45.28,11.87,0.587,0.698,0.737,0.659,0.849,0.715
1355030803059,86.93,91.07,29.68,6.73,0.419,0.634,0.678,0.552,0.806,0.699
1355030803060,87.20,89.37,37.02,6.03,0.493,0.696,0.682,0.620,0.778,0.657
1355030803061,93.32,94.53,69.60,38.37,0.808,0.796,0.893,0.800,0.930,0.958
1355030803062,94.32,98.16,55.49,34.13,0.742,0.812,0.851,0.788,0.914,0.856
1355030803063,86.40,90.81,31.48,6.03,0.493,0.696,0.682,0.620,0.778,0.657
1355030803064,87.20,89.37,37.02,6.73,0.419,0.634,0.678,0.552,0.806,0.699
1355030803065,93.32,94.53,69.60,38.37,0.808,0.796,0.893,0.800,0.930,0.958
1355030803066,88.55,94.26,31.71,6.03,0.493,0.696,0.682,0.620,0.778,0.657
1355030803067,88.55,93.20,33.29,14.79,0.535,0.678,0.683,0.627,0.776,0.655
1355030803068,84.97,90.91,29.77,6.03,0.493,0.696,0.682,0.620,0.778,0.657
1355030803069,87.20,89.37,37.02,6.73,0.419,0.634,0.678,0.552,0.806,0.699
1355030803070,93.93,96.69,62.99,14.46,0.671,0.764,0.770,0.732,0.857,0.729
1355030803071,91.56,95.63,49.41,18.76,0.659,0.790,0.792,0.744,0.878,0.760
1355030803072,97.47,98.76,81.79,38.37,0.808,0.796,0.893,0.800,0.930,0.958
1355030803073,87.46,91.50,25.61,6.03,0.493,0.696,0.682,0.620,0.778,0.657
1355030803074,86.44,91.71,26.03,14.79,0.535,0.678,0.683,0.627,0.776,0.655
1355030803075,93.18,95.70,56.31,10.57,0.582,0.767,0.757,0.700,0.854,0.725
1355030803076,92.70,95.01,45.05,10.29,0.575,0.707,0.729,0.660,0.837,0.701
1355030803077,88.55,93.20,33.29,14.79,0.535,0.678,0.683,0.627,0.776,0.655
1355030803078,91.49,94.56,42.39,10.73,0.517,0.651,0.727,0.603,0.861,0.741
1355030803079,93.78,95.24,62.43,18.76,0.659,0.790,0.792,0.744,0.878,0.760
1355030803080,89.73,93.72,29.79,6.73,0.419,0.634,0.678,0.552,0.806,0.699
1355030803081,87.20,89.37,37.02,6.03,0.493,0.696,0.682,0.620,0.778,0.657
1355030803082,93.32,94.53,69.60,38.37,0.808,0.796,0.893,0.800,0.930,0.958
1355030803083,88.55,93.20,33.29,14.79,0.535,0.678,0.683,0.627,0.776,0.655
1355030803084,88.91,95.82,44.77,11.87,0.587,0.698,0.737,0.659,0.849,0.715
1355030804001,88.78,94.23,28.47,6.54,0.499,0.721,0.698,0.638,0.796,0.670
1355030804002,85.30,90.53,21.04,6.54,0.499,0.721,0.698,0.638,0.796,0.670
1355030804003,86.71,91.85,30.40,3.83,0.435,0.656,0.648,0.572,0.746,0.638
1355030804004,88.55,94.26,31.71,3.96,0.442,0.613,0.638,0.550,0.743,0.635
1355030804005,86.93,91.07,29.68,6.54,0.499,0.721,0.698,0.638,0.796,0.670
